1.0000029054 0.0000000070
0.9792142118 0.0043781809
0.9584148857 0.0077149656
0.9376155597 0.0110517503
0.9147235423 0.0134725463
0.9043121837 0.0139954104
0.8939018883 0.0146224134
0.8834926562 0.0153535554
0.8730727917 0.0150433081
0.8626550537 0.0149413387
0.8522341259 0.0145269525
0.8418131982 0.0141125663
0.8313858911 0.0130733465
0.8209522045 0.0114092931
0.8105132018 0.0092245451
0.8000688829 0.0065191025
0.7896203110 0.0033971041
0.7791621701 -0.0006621446
0.7686965864 -0.0054503657
0.7634643263 -0.0077924069
0.7582214337 -0.0111758373
0.7519242212 -0.0157983040
0.7477207633 -0.0194006431
0.7435098628 -0.0237319547
0.7414012228 -0.0262100273
0.7396082409 -0.0283788723
0.7287313080 -0.0428488245
0.7026454968 -0.0471651663
0.6765596856 -0.0514815081
0.6504770640 -0.0554854331
0.6243965690 -0.0592810802
0.5983235166 -0.0623477549
0.5722525907 -0.0652061517
0.5201320035 -0.0688401667
0.4680273649 -0.0709120978
0.4159344219 -0.0718385007
0.3638531744 -0.0716193754
0.3117825594 -0.0703588609
0.2597236399 -0.0679528181
0.2076817322 -0.0638805525
0.1816671577 -0.0612195861
0.1556568362 -0.0581420640
0.1296528941 -0.0544397083
0.1036563947 -0.0500083802
0.0776694644 -0.0446398017
0.0516974194 -0.0378132782
0.0387193711 -0.0336189745
0.0257530185 -0.0282791426
0.0128015511 -0.0214813657
0.0050610793 -0.0144243262
0.0019842414 -0.0097061820
0.0000000000 0.0000000000
0.0022213429 0.0135167989
0.0054247058 0.0211911870
0.0133459278 0.0318377653
0.0264823981 0.0431601618
0.0395864398 0.0513063211
0.0526723001 0.0576717046
0.0788136123 0.0674240984
0.1049322775 0.0749583331
0.1310351005 0.0809408977
0.1571272911 0.0858820731
0.1832131024 0.0901984148
0.2092904077 0.0936816452
0.2614290699 0.0990860220
0.3135485938 0.1026158981
0.3656521692 0.1045836903
0.4177399023 0.1049998125
0.4698130692 0.1039892313
0.5218712444 0.1015102913
0.5739123015 0.0973547145
0.5999256001 0.0945687814
0.6259330508 0.0912100842
0.6519332716 0.0871432423
0.6779290268 0.0826390169
0.7039188278 0.0775516135
0.7299044823 0.0720580683
0.7558858837 0.0661479674
0.7818633513 0.0598525524
0.8078379480 0.0532759624
0.8338109500 0.0465431639
0.8597819318 0.0396125015
0.8857509997 0.0324943890
0.9117184728 0.0252200682
0.9376856269 0.0179145056
0.9636525684 0.0105881153
0.9896199352 0.0033033805
1.0000029054 0.0000000070
